1922-11-01,-0.391,0.532,Belarus
1812-12-01,-6.206,2.982,Armenia
1886-11-01,24.419,0.925,Equatorial Guinea
1983-04-01,26.209,0.27,Kenya
1887-01-01,10.136000000000001,0.901,Cyprus
1861-05-01,19.748,0.855,South America
1890-08-01,23.839,0.5710000000000001,Turkey
1963-04-01,26.534,0.309,Barbados
1914-11-01,1.88,0.361,Saint Pierre And Miquelon
1965-01-01,22.969,0.171,South Africa
1899-07-01,23.444000000000006,0.344,Comoros
1963-04-01,7.5299999999999985,0.22,United Kingdom (Europe)
1851-06-01,23.886000000000006,1.6,Morocco
1861-12-01,5.521000000000001,1.745,Syria
1747-11-01,,,Bosnia And Herzegovina
1972-03-01,4.787,0.342,Slovakia
1942-10-01,25.866999999999997,0.506,Malaysia
1973-02-01,26.307,0.246,Grenada
1813-07-01,13.649,2.214,Switzerland
1867-02-01,-7.284000000000002,1.439,Norway
1965-01-01,24.385,0.265,Madagascar
1907-06-01,10.845,0.619,Russia
1916-12-01,22.297,0.489,Belize
1995-09-01,,0.629,Antarctica
1840-10-01,17.91,2.247,Morocco
1851-12-01,19.858,2.296,Vietnam
1878-02-01,-17.252,1.953,Mongolia
1995-04-01,22.191,0.386,Malawi
1910-08-01,27.808000000000003,0.317,Bahamas
1908-05-01,24.874,0.328,Macau
1979-04-01,28.745,0.403,Djibouti
1817-04-01,,,Egypt
1974-08-01,26.601,0.213,Vietnam
1934-01-01,1.944,0.32299999999999995,Belgium
2002-05-01,12.443,0.19,Armenia
2009-11-01,24.923000000000002,0.753,Niger
1947-12-01,21.42,0.8809999999999999,Guatemala
1939-10-01,27.752,0.299,Saint Martin
1779-10-01,10.18,3.597,Romania
1844-06-01,17.301,0.897,Romania
1844-07-01,23.301,0.897,Romania
1839-04-01,6.734,1.914,Montenegro
1928-01-01,8.043,0.632,Iraq
1902-04-01,10.157,0.524,New Zealand
1880-10-01,,,Fiji
1981-01-01,27.373,0.343,American Samoa
1871-03-01,-3.6919999999999997,2.485,Kyrgyzstan
1878-07-01,-2.072,2.323,Greenland
1913-05-01,25.315,0.35100000000000003,Macau
1993-12-01,26.717,0.191,Panama
1998-04-01,25.931,0.643,Guatemala
1867-04-01,8.097999999999999,0.929,Netherlands (Europe)
2012-03-01,13.59,0.156,Gaza Strip
1934-03-01,4.800999999999998,0.22,Azerbaijan
1901-09-01,26.331999999999997,1.177,Nigeria
2003-07-01,28.638,0.244,Antigua And Barbuda
1781-03-01,,,Armenia
1974-11-01,26.445,0.618,Saint Barth'elemy
1906-09-01,23.69,1.111,Central African Republic
2008-08-01,27.17,0.309,Cambodia
1982-01-01,8.327,0.238,France
1876-08-01,,,Gabon
1890-10-01,25.755,0.523,Saint Kitts And Nevis
1952-09-01,29.186,0.392,"Bonaire, Saint Eustatius And Saba"
1896-12-01,2.389,1.194,Montenegro
1928-02-01,16.019000000000002,0.49,Taiwan
1986-02-01,25.648000000000003,0.236,"Bonaire, Saint Eustatius And Saba"
1986-07-01,19.185,0.258,Slovenia
1935-05-01,27.69,0.52,Northern Mariana Islands
1773-03-01,5.188,2.702,Netherlands
1812-02-01,1.474,1.209,Slovenia
1868-05-01,27.656,1.096,Philippines
1923-02-01,-15.104,2.573,Svalbard And Jan Mayen
1919-07-01,27.105999999999998,0.247,Martinique
2005-06-01,26.791,0.588,Sierra Leone
1784-07-01,14.995999999999999,5.504,Aland
1810-06-01,13.56,3.505,Ireland
1944-06-01,17.486,0.282,Mongolia
1809-11-01,,,Nepal
1828-11-01,-3.451,3.401,Kazakhstan
1899-11-01,2.014,0.366,Estonia
1941-10-01,7.523,0.41,Moldova
1901-06-01,23.828000000000003,1.7719999999999998,Fiji
1976-02-01,21.237,2.469,Oman
1892-03-01,4.0489999999999995,0.691,Bosnia And Herzegovina
1918-04-01,22.56,0.406,Madagascar
1855-07-01,16.061,1.205,North America
1917-07-01,25.508000000000003,0.495,Trinidad And Tobago
1850-07-01,16.855,1.963,Kyrgyzstan
1885-02-01,1.7159999999999995,0.5379999999999999,Hungary
1952-10-01,28.569000000000003,0.541,United Arab Emirates
1983-06-01,28.205,0.317,Cambodia
1836-08-01,15.724,1.83,Netherlands (Europe)
1964-09-01,15.08,0.117,Asia
1952-06-01,27.598000000000003,0.099,Cambodia
1994-01-01,19.980999999999998,0.342,Burma
1897-03-01,-3.6919999999999997,0.667,Tajikistan
1929-12-01,24.991,0.3720000000000001,Turks And Caicas Islands
1993-02-01,5.465,0.183,United Kingdom
1969-11-01,23.148000000000003,0.19,Uganda
1943-06-01,21.616,0.27,Spain
1888-03-01,4.715,0.563,Jersey
1966-05-01,15.210999999999999,0.362,Azerbaijan
1969-06-01,16.688,0.285,France
2008-04-01,30.616999999999997,0.29100000000000004,Benin
1951-03-01,5.332000000000001,0.301,Romania
1803-11-01,4.002000000000002,3.027,Moldova
1948-11-01,27.271,0.47,Burkina Faso
1870-07-01,,,American Samoa
1770-02-01,7.75,3.892,France
1985-03-01,25.534000000000002,0.141,French Guiana
1744-11-01,0.777,1.599,Latvia
1866-11-01,-11.691,1.953,Canada
1771-09-01,13.954,2.227,Netherlands
1765-03-01,6.155,3.475,Netherlands (Europe)
1859-12-01,25.268,1.324,C^ote D'Ivoire
1746-04-01,,,Serbia
1996-07-01,33.945,0.521,Mauritania
2011-10-01,12.319,0.339,Azerbaijan
1876-06-01,12.913,0.894,Ireland
1889-03-01,2.755,0.506,Monaco
1866-04-01,6.26,0.945,Lithuania
1885-05-01,32.306,1.87,Niger
1870-12-01,-2.3169999999999997,1.501,Saint Pierre And Miquelon
2012-08-01,27.373,0.622,Vietnam
1965-06-01,32.152,0.899,Djibouti
1864-04-01,12.55,1.088,Spain
1997-12-01,5.252000000000001,0.113,France (Europe)
1863-03-01,,,Sri Lanka
1942-05-01,15.849,0.307,Spain
1823-01-01,2.947,1.663,Ireland
1990-06-01,19.795,0.29100000000000004,South America
1949-10-01,26.269000000000002,0.338,Saudi Arabia
1813-06-01,10.107999999999999,3.062,Saint Pierre And Miquelon
1751-01-01,6.09,2.182,Spain
1848-10-01,8.929,1.085,Monaco
1865-02-01,24.11,0.914,Montserrat
1749-11-01,,,France (Europe)
1898-09-01,26.271,0.768,Guyana
1898-10-01,18.572,0.588,Morocco
2005-08-01,28.515,0.723,Senegal
1797-05-01,11.409,3.87,Latvia
1865-03-01,16.483999999999998,2.241,Lesotho
1972-06-01,26.808000000000003,0.349,Cuba
1852-12-01,,,Zimbabwe
1901-10-01,26.968000000000004,0.461,Barbados
1779-12-01,12.68,7.356,Tunisia
1893-05-01,10.709,0.718,Kyrgyzstan
1853-01-01,26.026,1.032,Mayotte
2011-07-01,25.604,0.248,French Polynesia
1935-11-01,26.264,0.458,Comoros
1802-06-01,28.604,1.67,Bahamas
1850-09-01,-2.232,3.6,Svalbard And Jan Mayen
1846-08-01,25.072,1.227,El Salvador
1958-08-01,28.092,0.232,Bangladesh
1994-06-01,14.139000000000001,0.355,Namibia
1913-06-01,16.605,0.6829999999999999,Armenia
1943-08-01,23.750999999999998,0.511,Liberia
1945-05-01,21.61,0.294,Mozambique
1986-06-01,27.885,0.24,Thailand
1978-07-01,6.4110000000000005,0.362,Chile
1789-10-01,-7.792000000000001,5.132999999999999,Svalbard And Jan Mayen
1815-03-01,5.851,5.083,Bosnia And Herzegovina
1886-10-01,4.525,0.619,Estonia
1917-05-01,22.017,0.387,Mozambique
1949-07-01,33.553000000000004,0.327,Mauritania
1884-08-01,24.458000000000002,0.838,El Salvador
1920-08-01,18.967,0.514,Georgia
1883-09-01,27.448,1.361,Libya
1981-11-01,17.535999999999998,0.404,Egypt
1947-01-01,21.377,0.189,Argentina
1904-02-01,24.609,0.82,Cambodia
1825-04-01,27.369,1.887,Saint Vincent And The Grenadines
1926-01-01,3.822,0.499,Albania
1990-05-01,15.739,0.273,Slovenia
1829-11-01,-5.99,3.49,Sweden
1809-06-01,18.512,1.267,Spain
1887-12-01,11.456,0.8,Tunisia
1955-12-01,4.668,0.414,Bosnia And Herzegovina
1984-02-01,25.951999999999998,0.212,Saint Lucia
1982-09-01,20.093,0.157,Croatia
1812-08-01,19.464000000000002,5.4929999999999986,Hungary
1955-10-01,11.384,0.268,Serbia
1968-05-01,11.232999999999999,0.262,Netherlands
1973-09-01,28.206999999999997,0.484,Saint Barth'elemy
